Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
03/08/2019;2019;Vall d'Uixó (la);Cami Escoladora;Intencionado;0.02;0; <1 ;739777;4410641;39.81195652;-0.198853567
07/10/2019;2019;Altura;Ribas;Otras Causas;0.873;0; <1 ;705976;4413350;39.8452028;-0.592520357
06/11/2019;2019;Sant Mateu;Piques;Intencionado;0;6.5;6.5;771033;4486103;40.48140318;0.197492161
03/12/2019;2019;Coves de Vinromà (les);Mas Albert;Intencionado;0.5;0; <1 ;762416;4471576;40.35348496;0.089986375
19/01/2020;2020;Castellón de la Plana/Castelló de la Plana;Riu Albaida (camí de l'Assut);Intencionado;0.1;0; <1 ;714733;4327359;39.06893625;-0.517918864
12/03/2020;2020;Altura;Regajo;Negligencia;0.1;0.057; <1 ;707879;4411102;39.82450284;-0.571009901
21/05/2020;2020;Castellón de la Plana/Castelló de la Plana;Alts Recs;Negligencia;0;0.005; <1 ;713786;4324458;39.04305132;-0.529766334
23/05/2020;2020;Tales;Corral de la Frontera;Negligencia;0;0.024; <1 ;730466;4426700;39.95906153;-0.301848106
22/07/2020;2020;Eslida;Barranco de Chovar;Rayo;0.001;0; <1 ;729344;4417102;39.87298412;-0.318343815
10/08/2020;2020;Zorita del Maestrazgo;La Grallera;Rayo;0;0.128; <1 ;736004;4517416;40.77385267;-0.203522642
12/08/2020;2020;Atzeneta del Maestrat;4 Vientos;Rayo;0;2.5;2.5;745042;4459743;40.25229599;-0.118871456
12/08/2020;2020;Vallibona;Mola Closa;Rayo;0;0.01; <1 ;764207;4501451;40.62166585;0.1234926
12/08/2020;2020;Vilafamés;Les Umbries;Rayo;0;0.002; <1 ;750089;4443972;40.10890196;-0.065728207
28/08/2020;2020;Morella;Regatxol;Rayo;0;0.001; <1 ;754514;4503803;40.64586648;0.010004667
18/09/2020;2020;Pobla Tornesa (la);Tossal de la Cova;Rayo;0;0.001; <1 ;755673;4443793;40.10561382;-0.000366354
04/10/2020;2020;Onda;Masía Llidona;Otras Causas;0;0.035; <1 ;737301;4433616;40.01941064;-0.219391339
18/10/2020;2020;Vila-real;Santa Quiteria;Negligencia;0.055;0; <1 ;748288;4426605;39.95316498;-0.093479613
18/10/2020;2020;Almassora;L'Estret;Intencionado;0.015;0; <1 ;749705;4426079;39.94801507;-0.077113794
19/10/2020;2020;Sant Mateu;El Pati de la Bassa;Otras Causas;0.22;0; <1 ;766416;4482992;40.45491162;0.141796208
