"date","RH3000","RH4000"
2023-03-16 04:45:00,27.886,19.986
2023-03-16 04:50:00,27.715,19.908
2023-03-16 04:55:00,27.59,19.865
2023-03-16 05:00:00,27.475,19.815
2023-03-16 05:05:00,27.369,19.766
2023-03-16 05:10:00,27.268,19.744
2023-03-16 05:15:00,27.196,19.723
2023-03-16 05:20:00,27.072,19.664
2023-03-16 05:25:00,26.966,19.641
2023-03-16 05:30:00,26.89,19.583
2023-03-16 05:35:00,26.766,19.54
2023-03-16 05:40:00,26.677,19.521
2023-03-16 05:45:00,26.571,19.46
2023-03-16 05:50:00,26.439,19.42
2023-03-16 05:55:00,26.336,19.357
2023-03-16 06:00:00,26.233,19.318
2023-03-16 06:05:00,26.144,19.301
2023-03-16 06:10:00,26.036,19.256
2023-03-16 06:15:00,25.932,19.217
2023-03-16 06:20:00,25.798,19.139
2023-03-16 06:25:00,25.628,19.056
2023-03-16 06:30:00,25.511,19.017
2023-03-16 06:35:00,25.39,18.974
2023-03-16 06:40:00,25.337,18.955
2023-03-16 06:45:00,25.291,18.976
2023-03-16 06:50:00,25.266,18.974
2023-03-16 06:55:00,25.21,18.974
2023-03-16 07:00:00,25.151,18.955
2023-03-16 07:05:00,25.068,18.935
2023-03-16 07:10:00,25.025,18.914
2023-03-16 07:15:00,24.979,18.917
2023-03-16 07:20:00,24.936,18.916
2023-03-16 07:25:00,24.932,18.935
2023-03-16 07:30:00,24.896,18.935
2023-03-16 07:35:00,24.861,18.953
2023-03-16 07:40:00,24.837,18.925
2023-03-16 07:45:00,24.81,18.933
2023-03-16 07:50:00,24.857,19.013
2023-03-16 07:55:00,24.971,19.125
2023-03-16 08:00:00,24.913,19.075
2023-03-16 08:05:00,24.932,19.116
2023-03-16 08:10:00,24.994,19.175
2023-03-16 08:15:00,25.09,19.269
2023-03-16 08:20:00,25.08,19.295
2023-03-16 08:25:00,25.011,19.278
2023-03-16 08:30:00,24.992,19.276
2023-03-16 08:35:00,24.992,19.258
2023-03-16 08:40:00,24.859,19.056
2023-03-16 08:45:00,24.862,19.075
2023-03-16 08:50:00,24.872,19.136
2023-03-16 08:55:00,24.883,19.216
2023-03-16 09:00:00,24.962,19.317
2023-03-16 09:05:00,24.969,19.226
2023-03-16 09:10:00,25.026,19.2
2023-03-16 09:15:00,24.973,19.283
2023-03-16 09:20:00,24.975,19.357
2023-03-16 09:25:00,25.043,19.366
2023-03-16 09:30:00,24.996,19.194
2023-03-16 09:35:00,24.995,19.295
2023-03-16 09:40:00,24.881,19.336
2023-03-16 09:45:00,24.781,19.047
2023-03-16 09:50:00,24.63,19.017
2023-03-16 09:55:00,24.175,18.733
2023-03-16 10:00:00,23.6,18.428
2023-03-16 10:05:00,23.878,18.589
2023-03-16 10:10:00,24.03,18.791
2023-03-16 10:15:00,24.276,19.134
2023-03-16 10:20:00,25.915,20.326
2023-03-16 10:25:00,26.676,20.83
2023-03-16 10:30:00,27.003,20.749
2023-03-16 10:35:00,27.067,20.96
2023-03-16 10:40:00,27.045,20.818
2023-03-16 10:45:00,27.166,20.749
2023-03-16 10:50:00,26.492,20.624
2023-03-16 10:55:00,26.514,20.145
2023-03-16 11:00:00,25.757,19.64
2023-03-16 11:05:00,25.134,19.093
2023-03-16 11:10:00,24.838,19.214
2023-03-16 11:15:00,24.707,19.194
2023-03-16 11:20:00,24.533,19.013
2023-03-16 11:25:00,24.31,18.926
2023-03-16 11:30:00,24.017,18.68
2023-03-16 11:35:00,23.79,18.619
2023-03-16 11:40:00,23.534,18.469
2023-03-16 11:45:00,23.424,18.428
2023-03-16 11:50:00,23.5,18.63
2023-03-16 11:55:00,23.272,18.305
2023-03-16 12:00:00,23.3,18.538
2023-03-16 12:05:00,23.479,18.467
2023-03-16 12:10:00,23.524,18.83
2023-03-16 12:15:00,23.759,18.832
2023-03-16 12:20:00,23.749,18.708
2023-03-16 12:25:00,24.133,19.356
2023-03-16 12:30:00,24.461,19.295
2023-03-16 12:35:00,24.282,19.315
2023-03-16 12:40:00,23.92,18.893
2023-03-16 12:45:00,23.753,18.77
2023-03-16 12:50:00,23.306,18.669
2023-03-16 12:55:00,23.842,19.003
2023-03-16 13:00:00,23.944,19.056
2023-03-16 13:05:00,24.194,19.047
2023-03-16 13:10:00,24.117,19.317
2023-03-16 13:15:00,24.155,19.093
2023-03-16 13:20:00,24.131,19.173
2023-03-16 13:25:00,23.936,19.155
2023-03-16 13:30:00,24.167,19.173
2023-03-16 13:35:00,23.928,18.978
2023-03-16 13:40:00,23.656,18.981
2023-03-16 13:45:00,23.888,19.052
2023-03-16 13:50:00,23.63,18.932
2023-03-16 13:55:00,23.661,19.003
2023-03-16 14:00:00,23.783,18.964
2023-03-16 14:05:00,23.94,19.052
2023-03-16 14:10:00,23.886,19.093
2023-03-16 14:15:00,24.028,19.153
2023-03-16 14:20:00,23.987,19.134
2023-03-16 14:25:00,24.197,19.276
2023-03-16 14:30:00,23.833,18.994
2023-03-16 14:35:00,23.731,18.912
2023-03-16 14:40:00,23.79,19.059
2023-03-16 14:45:00,23.898,19.127
2023-03-16 14:50:00,23.946,19.134
2023-03-16 14:55:00,23.803,18.971
2023-03-16 15:00:00,23.67,18.893
2023-03-16 15:05:00,23.714,18.994
2023-03-16 15:10:00,23.631,18.862
2023-03-16 15:15:00,23.513,18.832
2023-03-16 15:20:00,23.513,18.884
2023-03-16 15:25:00,23.564,18.976
2023-03-16 15:30:00,23.738,19.065
2023-03-16 15:35:00,23.547,18.832
2023-03-16 15:40:00,23.59,18.972
2023-03-16 15:45:00,23.425,18.65
2023-03-16 15:50:00,23.297,18.802
2023-03-16 15:55:00,23.398,18.77
2023-03-16 16:00:00,23.239,18.763
2023-03-16 16:05:00,23.386,18.854
2023-03-16 16:10:00,23.416,18.751
2023-03-16 16:15:00,23.372,18.832
2023-03-16 16:20:00,23.488,18.974
2023-03-16 16:25:00,23.523,18.841
2023-03-16 16:30:00,23.739,19.074
2023-03-16 16:35:00,23.843,19.276
2023-03-16 16:40:00,23.848,19.074
2023-03-16 16:45:00,23.99,19.256
2023-03-16 16:50:00,24.02,19.233
2023-03-16 16:55:00,24.133,19.457
2023-03-16 17:00:00,24.296,19.317
2023-03-16 17:05:00,24.392,19.418
2023-03-16 17:10:00,24.341,19.457
2023-03-16 17:15:00,24.537,19.618
2023-03-16 17:20:00,24.785,19.737
2023-03-16 17:25:00,24.848,19.68
2023-03-16 17:30:00,24.958,19.698
2023-03-16 17:35:00,24.939,19.741
2023-03-16 17:40:00,24.713,19.7
2023-03-16 17:45:00,24.919,19.703
2023-03-16 17:50:00,24.981,19.617
2023-03-16 17:55:00,24.973,19.739
2023-03-16 18:00:00,24.928,19.737
2023-03-16 18:05:00,24.716,19.54
2023-03-16 18:10:00,24.643,19.538
2023-03-16 18:15:00,24.825,19.418
2023-03-16 18:20:00,24.814,19.648
2023-03-16 18:25:00,25.078,19.719
2023-03-16 18:30:00,24.737,19.597
2023-03-16 18:35:00,24.658,19.396
2023-03-16 18:40:00,24.488,19.233
2023-03-16 18:45:00,24.736,19.476
2023-03-16 18:50:00,24.873,19.62
2023-03-16 18:55:00,25.082,19.78
2023-03-16 19:00:00,25.084,19.78
2023-03-16 19:05:00,25.067,19.801
2023-03-16 19:10:00,25.167,19.659
2023-03-16 19:15:00,25.205,19.68
2023-03-16 19:20:00,25.232,19.76
2023-03-16 19:25:00,25.26,19.797
2023-03-16 19:30:00,25.233,19.799
2023-03-16 19:35:00,25.215,19.799
2023-03-16 19:40:00,25.239,19.84
2023-03-16 19:45:00,25.227,19.719
2023-03-16 19:50:00,25.198,19.56
2023-03-16 19:55:00,25.196,19.67
2023-03-16 20:00:00,25.266,19.718
2023-03-16 20:05:00,25.198,19.719
2023-03-16 20:10:00,25.233,19.758
2023-03-16 20:15:00,25.332,19.861
2023-03-16 20:20:00,25.418,19.9
2023-03-16 20:25:00,25.449,19.922
2023-03-16 20:30:00,25.393,19.774
2023-03-16 20:35:00,25.321,19.599
2023-03-16 20:40:00,25.222,19.599
2023-03-16 20:45:00,25.192,19.599
2023-03-16 20:50:00,25.164,19.64
2023-03-16 20:55:00,25.134,19.609
2023-03-16 21:00:00,25.036,19.558
2023-03-16 21:05:00,25.032,19.577
2023-03-16 21:10:00,24.961,19.54
2023-03-16 21:15:00,24.928,19.522
2023-03-16 21:20:00,24.838,19.478
2023-03-16 21:25:00,24.763,19.439
2023-03-16 21:30:00,24.705,19.278
2023-03-16 21:35:00,24.688,19.176
2023-03-16 21:40:00,24.75,19.318
2023-03-16 21:45:00,24.87,19.437
2023-03-16 21:50:00,25.037,19.599
2023-03-16 21:55:00,25.269,19.741
2023-03-16 22:00:00,25.486,19.922
2023-03-16 22:05:00,25.744,20.081
2023-03-16 22:10:00,25.948,20.218
2023-03-16 22:15:00,26.091,20.305
2023-03-16 22:20:00,26.147,20.287
2023-03-16 22:25:00,25.992,20.145
2023-03-16 22:30:00,25.748,20.025
2023-03-16 22:35:00,25.699,19.833
2023-03-16 22:40:00,25.682,19.741
2023-03-16 22:45:00,25.653,19.783
2023-03-16 22:50:00,25.56,19.723
2023-03-16 22:55:00,25.488,19.702
2023-03-16 23:00:00,25.481,19.741
2023-03-16 23:05:00,25.605,19.824
2023-03-16 23:10:00,25.525,19.741
2023-03-16 23:15:00,25.332,19.601
2023-03-16 23:20:00,25.235,19.56
2023-03-16 23:25:00,25.151,19.519
2023-03-16 23:30:00,25.045,19.439
2023-03-16 23:35:00,24.924,19.381
2023-03-16 23:40:00,24.841,19.361
2023-03-16 23:45:00,24.758,19.279
2023-03-16 23:50:00,24.63,19.239
2023-03-16 23:55:00,24.584,19.219
2023-03-17 00:00:00,24.474,19.137
2023-03-17 00:05:00,24.469,19.176
2023-03-17 00:10:00,24.435,19.159
2023-03-17 00:15:00,24.349,19.097
2023-03-17 00:20:00,24.232,18.976
2023-03-17 00:25:00,23.857,18.777
2023-03-17 00:30:00,23.682,18.674
